ST,STATE,CHARACTERISTIC,PUMS_EST_18,PUMS_SE_18,PUMS_MOE_18
01,Alabama,Total population,4887871,0,0
01,Alabama,Housing unit population (RELP=0-15),4770428,0,0
01,Alabama,GQ population (RELP=16-17),117443,0,0
01,Alabama,GQ institutional population (RELP=16),65271,7,11
01,Alabama,GQ noninstitutional population (RELP=17),52172,7,11
01,Alabama,Total males (SEX=1),2364059,3736,6146
01,Alabama,Total females (SEX=2),2523812,3736,6146
01,Alabama,Age 0-4,285455,2845,4681
01,Alabama,Age 5-9,284411,5531,9098
01,Alabama,Age 10-14,332341,5522,9083
01,Alabama,Age 15-19,322834,4612,7586
01,Alabama,Age 20-24,322878,4239,6972
01,Alabama,Age 25-34,638007,4842,7965
01,Alabama,Age 35-44,596730,4459,7335
01,Alabama,Age 45-54,622852,4658,7662
01,Alabama,Age 55-59,328782,5334,8775
01,Alabama,Age 60-64,324983,5263,8657
01,Alabama,Age 65-74,494448,2466,4057
01,Alabama,Age 75-84,253407,3360,5527
01,Alabama,Age 85 and over,80743,2985,4910
01,Alabama,Total housing units (TYPE=1),2274711,172,284
01,Alabama,Total occupied units,1855186,7184,11818
01,Alabama,"Owner occupied units (TEN in 1,2)",1262089,9388,15443
01,Alabama,"Renter occupied units (TEN in 3,4)",593097,8316,13679
01,Alabama,Owned with a mortgage (TEN=1),700041,8273,13609
01,Alabama,Owned free and clear (TEN=2),562048,6831,11237
01,Alabama,Rented for cash (TEN=3),529300,8303,13659
01,Alabama,No cash rent (TEN=4),63797,3409,5608
01,Alabama,Total vacant units,419525,7225,11885
01,Alabama,For rent (VACS=1),65885,2996,4929
01,Alabama,For sale only (VACS=3),24116,2254,3708
01,Alabama,"All Other Vacant (VACS in 2,4,5,6,7)",329524,6430,10578
02,Alaska,Total population,737438,0,0
02,Alaska,Housing unit population (RELP=0-15),710666,0,0
02,Alaska,GQ population (RELP=16-17),26772,0,0
02,Alaska,GQ institutional population (RELP=16),6450,3,5
02,Alaska,GQ noninstitutional population (RELP=17),20322,3,5
02,Alaska,Total males (SEX=1),379637,2673,4396
02,Alaska,Total females (SEX=2),357801,2673,4396
02,Alaska,Age 0-4,49655,1628,2677
02,Alaska,Age 5-9,53876,2729,4489
02,Alaska,Age 10-14,52805,2591,4263
02,Alaska,Age 15-19,47345,1912,3145
02,Alaska,Age 20-24,49935,2086,3432
02,Alaska,Age 25-34,114031,2407,3959
02,Alaska,Age 35-44,98242,2900,4771
02,Alaska,Age 45-54,90144,2974,4893
02,Alaska,Age 55-59,45549,2908,4784
02,Alaska,Age 60-64,48741,2640,4342
02,Alaska,Age 65-74,59433,1597,2627
02,Alaska,Age 75-84,22529,1234,2029
02,Alaska,Age 85 and over,5153,781,1285
02,Alaska,Total housing units (TYPE=1),318352,121,199
02,Alaska,Total occupied units,254543,1987,3268
02,Alaska,"Owner occupied units (TEN in 1,2)",167620,3264,5369
02,Alaska,"Renter occupied units (TEN in 3,4)",86923,3464,5699
02,Alaska,Owned with a mortgage (TEN=1),97333,4100,6744
02,Alaska,Owned free and clear (TEN=2),70287,3277,5391
02,Alaska,Rented for cash (TEN=3),79460,3399,5591
02,Alaska,No cash rent (TEN=4),7463,993,1634
02,Alaska,Total vacant units,63809,1993,3279
02,Alaska,For rent (VACS=1),8347,1673,2752
02,Alaska,For sale only (VACS=3),4362,1305,2146
02,Alaska,"All Other Vacant (VACS in 2,4,5,6,7)",51100,2075,3413
04,Arizona,Total population,7171646,0,0
04,Arizona,Housing unit population (RELP=0-15),7012204,0,0
04,Arizona,GQ population (RELP=16-17),159442,0,0
04,Arizona,GQ institutional population (RELP=16),87543,7,11
04,Arizona,GQ noninstitutional population (RELP=17),71899,7,11
04,Arizona,Total males (SEX=1),3565613,3359,5526
04,Arizona,Total females (SEX=2),3606033,3359,5526
04,Arizona,Age 0-4,431790,2114,3477
04,Arizona,Age 5-9,446798,5706,9387
04,Arizona,Age 10-14,485123,5941,9773
04,Arizona,Age 15-19,468620,3626,5965
04,Arizona,Age 20-24,498512,3760,6185
04,Arizona,Age 25-34,975848,4580,7534
04,Arizona,Age 35-44,885520,3387,5572
04,Arizona,Age 45-54,851689,3359,5525
04,Arizona,Age 55-59,429483,6031,9920
04,Arizona,Age 60-64,440544,6519,10724
04,Arizona,Age 65-74,726316,2176,3580
04,Arizona,Age 75-84,397924,4446,7313
04,Arizona,Age 85 and over,133479,3951,6499
04,Arizona,Total housing units (TYPE=1),3035902,247,406
