condition,outcome,ate,se,n_treat,n_control
"E1: Protect Yourself, Individual Action",e1_normsbeliefs,1.0256710643308793,2.4377305294278306,194,572
"E1: Protect Yourself, Individual Action",e1_sd,1.2441951399205209,1.9694126829409593,193,572
"E1: Protect Yourself, Individual Action",e1_food,0.17913910389614784,2.4579573991266557,193,571
"E1: Protect Yourself, Individual Action",e1_others,0.8319352570862577,1.8316827095143962,190,549
"E1: Protect Yourself, Threshold Cooperation",e1_normsbeliefs,5.032597610722618,2.2376667309554747,192,572
"E1: Protect Yourself, Threshold Cooperation",e1_sd,3.2874918291584834,1.9957073136363401,189,572
"E1: Protect Yourself, Threshold Cooperation",e1_food,2.0989645743079137,2.4115834873721353,190,571
"E1: Protect Yourself, Threshold Cooperation",e1_others,1.0956858497842177,1.9351116773222459,185,549
"E1: Protect Yourself, Linear Cooperation",e1_normsbeliefs,-1.5027525665823447,2.4728065050601886,188,572
"E1: Protect Yourself, Linear Cooperation",e1_sd,-1.6295591663238866,1.8858945415012962,187,572
"E1: Protect Yourself, Linear Cooperation",e1_food,-0.31051657537480537,2.365448001726359,188,571
"E1: Protect Yourself, Linear Cooperation",e1_others,-2.1330513620038403,1.7912969558056482,177,549
"E1: Protect Others, Individual Action",e1_normsbeliefs,-0.6847319347319285,2.382029105795813,198,572
"E1: Protect Others, Individual Action",e1_sd,-1.0675666925667002,1.9107764634517033,198,572
"E1: Protect Others, Individual Action",e1_food,-2.2178881635974506,2.1970745152939664,198,571
"E1: Protect Others, Individual Action",e1_others,0.08217233627070897,1.8898480859375446,185,549
"E1: Protect Others, Threshold Cooperation",e1_normsbeliefs,-0.9660100625447114,2.4299774490165804,202,572
"E1: Protect Others, Threshold Cooperation",e1_sd,1.2365691936587382,1.8132005908717783,201,572
"E1: Protect Others, Threshold Cooperation",e1_food,3.009761467037251,2.2348556217329993,201,571
"E1: Protect Others, Threshold Cooperation",e1_others,0.6998994383727961,1.9198316331066565,192,549
"E1: Protect Others, Linear Cooperation",e1_normsbeliefs,3.756032493469675,2.2546925172976553,199,572
"E1: Protect Others, Linear Cooperation",e1_sd,3.1967345260492266,1.747329739936903,197,572
"E1: Protect Others, Linear Cooperation",e1_food,4.011068065358785,2.1969435491510887,198,571
"E1: Protect Others, Linear Cooperation",e1_others,1.2070147953100516,1.769741501399852,193,549
E1: Reframing Bravery,e1_normsbeliefs,3.42001748251748,2.3527558429723965,208,572
E1: Reframing Bravery,e1_sd,3.1283782642478144,1.8749528397615673,207,572
E1: Reframing Bravery,e1_food,2.5837514206508416,2.2923672966049438,207,571
E1: Reframing Bravery,e1_others,5.822312987125635,1.80700746273569,196,549
E1: Reframing Bravery + Pollution,e1_normsbeliefs,3.3398892773892754,2.380783460027246,192,572
E1: Reframing Bravery + Pollution,e1_sd,2.80052081426426,1.9771585890124594,191,572
E1: Reframing Bravery + Pollution,e1_food,2.150402068567132,2.3050539604715654,191,571
E1: Reframing Bravery + Pollution,e1_others,2.4175463843519367,1.8991364453006168,181,549
E1: Return to Normal,e1_normsbeliefs,-2.166785479892269,2.424691295113994,206,572
E1: Return to Normal,e1_sd,1.3487533708121902,1.8457003080985468,204,572
E1: Return to Normal,e1_food,1.496596585370071,2.191190133139664,203,571
E1: Return to Normal,e1_others,-1.8851700060716396,1.8814684478092187,200,549
E1: Adapt to New Normal,e1_normsbeliefs,-0.26364287151089627,2.508683084227833,197,572
E1: Adapt to New Normal,e1_sd,2.0123013619206347,2.06393802141794,197,572
E1: Adapt to New Normal,e1_food,-0.6822269832662187,2.48538937477203,197,571
E1: Adapt to New Normal,e1_others,-0.7061159520175835,2.021511573995589,185,549
E2: Baseline Information,e2_beliefs,2.96482814160683,1.0025276368315545,1284,1361
E2: Baseline Information,e2_sd,1.6555315026173645,0.7245047139678645,1469,1571
E2: Baseline Information,e2_food,1.5433702547854296,0.9518592696398691,1470,1571
E2: Baseline Information,e2_peers,2.3544092373852408,0.9843367642059104,1467,1570
E2: Baseline Information,e2_masks,1.6357312146257783,0.9394256949693146,1466,1568
"E2: Protect Others, Linear Cooperation",e2_beliefs,2.8206291422676486,0.9756347553695193,1320,1361
"E2: Protect Others, Linear Cooperation",e2_sd,2.345656249784568,0.7126534780021205,1489,1571
"E2: Protect Others, Linear Cooperation",e2_food,1.1270424605157388,0.9519169303946424,1486,1571
"E2: Protect Others, Linear Cooperation",e2_peers,2.697462885815014,0.9665525868259265,1487,1570
"E2: Protect Others, Linear Cooperation",e2_masks,2.0775997502442607,0.9189107146913954,1486,1568
E2: Reframing Bravery,e2_beliefs,3.529313732531179,0.9762822705118673,1330,1361
E2: Reframing Bravery,e2_sd,2.28856101727051,0.7026113465439034,1537,1571
E2: Reframing Bravery,e2_food,1.248625364229568,0.9285925144267235,1535,1571
E2: Reframing Bravery,e2_peers,3.4977435935407115,0.9665202827064243,1534,1570
E2: Reframing Bravery,e2_masks,1.8987249179791235,0.9165465276635906,1532,1568
